participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.name,session.config.participation_fee,session.config.real_world_currency_per_point,session.config.players_per_group,prestige_sd_checktest.1.player.id_in_group,prestige_sd_checktest.1.player.role,prestige_sd_checktest.1.player.payoff,prestige_sd_checktest.1.player.checktest_q1,prestige_sd_checktest.1.player.checktest_q2,prestige_sd_checktest.1.player.checktest_q3,prestige_sd_checktest.1.player.checktest_q4,prestige_sd_checktest.1.player.checktest_q5,prestige_sd_checktest.1.player.checktest_q6,prestige_sd_checktest.1.player.checktest_q7,prestige_sd_checktest.1.group.id_in_subsession,prestige_sd_checktest.1.subsession.round_number,prestige_sd.1.player.id_in_group,prestige_sd.1.player.role,prestige_sd.1.player.payoff,prestige_sd.1.player.prev_contributions,prestige_sd.1.player.prev_show_payoff,prestige_sd.1.player.prev_show_contribution,prestige_sd.1.player.contribution,prestige_sd.1.player.show_payoff,prestige_sd.1.player.show_contribution,prestige_sd.1.player.checktest_completed_time,prestige_sd.1.group.id_in_subsession,prestige_sd.1.group.total_contribution,prestige_sd.1.subsession.round_number,prestige_sd.2.player.id_in_group,prestige_sd.2.player.role,prestige_sd.2.player.payoff,prestige_sd.2.player.prev_contributions,prestige_sd.2.player.prev_show_payoff,prestige_sd.2.player.prev_show_contribution,prestige_sd.2.player.contribution,prestige_sd.2.player.show_payoff,prestige_sd.2.player.show_contribution,prestige_sd.2.player.checktest_completed_time,prestige_sd.2.group.id_in_subsession,prestige_sd.2.group.total_contribution,prestige_sd.2.subsession.round_number,prestige_sd.3.player.id_in_group,prestige_sd.3.player.role,prestige_sd.3.player.payoff,prestige_sd.3.player.prev_contributions,prestige_sd.3.player.prev_show_payoff,prestige_sd.3.player.prev_show_contribution,prestige_sd.3.player.contribution,prestige_sd.3.player.show_payoff,prestige_sd.3.player.show_contribution,prestige_sd.3.player.checktest_completed_time,prestige_sd.3.group.id_in_subsession,prestige_sd.3.group.total_contribution,prestige_sd.3.subsession.round_number
1,ahryqenv,,1,15,14,prestige_sd,Results,2025-04-07 08:10:57.650734,1,,,330.0,t5rszcgs,,,,,0,prestige_sd_app,0.0,1.0,3,1,,0.0,1,0,30,260,520,140,170,1,1,1,,110.0,,,,10.0,0,1,,3,30.0,1,1,,110.0,10.0,0,1,10.0,0,1,,5,30.0,2,1,,110.0,10.0,0,1,10.0,1,0,,7,30.0,3
2,jgyhwlyr,,1,15,14,prestige_sd,Results,2025-04-07 08:10:57.675002,1,,,330.0,t5rszcgs,,,,,0,prestige_sd_app,0.0,1.0,3,2,,0.0,1,0,30,260,520,140,170,1,1,1,,110.0,,,,10.0,0,1,,2,30.0,1,1,,110.0,10.0,0,1,10.0,0,1,,4,30.0,2,1,,110.0,10.0,0,1,10.0,0,0,,6,30.0,3
3,68ji3ys1,,1,15,14,prestige_sd,Results,2025-04-07 08:10:57.704302,1,,,330.0,t5rszcgs,,,,,0,prestige_sd_app,0.0,1.0,3,3,,0.0,1,0,30,260,520,140,170,1,1,2,,110.0,,,,10.0,0,0,,2,30.0,1,2,,110.0,10.0,0,0,10.0,0,1,,4,30.0,2,2,,110.0,10.0,0,1,10.0,1,0,,6,30.0,3
4,i5szffsg,,1,15,14,prestige_sd,Results,2025-04-07 08:10:57.714876,1,,,330.0,t5rszcgs,,,,,0,prestige_sd_app,0.0,1.0,3,4,,0.0,1,0,30,260,520,140,170,1,1,3,,110.0,,,,10.0,1,1,,2,30.0,1,3,,110.0,10.0,1,1,10.0,0,0,,4,30.0,2,3,,110.0,10.0,0,0,10.0,1,0,,6,30.0,3
5,0nzdzm28,,1,15,14,prestige_sd,Results,2025-04-07 08:10:57.735287,1,,,330.0,t5rszcgs,,,,,0,prestige_sd_app,0.0,1.0,3,5,,0.0,1,0,30,260,520,140,170,1,1,2,,110.0,,,,10.0,1,0,,3,30.0,1,2,,110.0,10.0,1,0,10.0,0,1,,5,30.0,2,2,,110.0,10.0,0,1,10.0,1,0,,7,30.0,3
6,o1regpct,,1,15,14,prestige_sd,Results,2025-04-07 08:10:57.744979,1,,,330.0,t5rszcgs,,,,,0,prestige_sd_app,0.0,1.0,3,6,,0.0,1,0,30,260,520,140,170,1,1,3,,110.0,,,,10.0,1,1,,3,30.0,1,3,,110.0,10.0,1,1,10.0,0,1,,5,30.0,2,3,,110.0,10.0,0,1,10.0,0,1,,7,30.0,3
1,m9kr3h7h,,1,15,14,prestige_sd,Results,2025-04-07 08:11:00.436043,1,,,390.0,77bssczk,,,,,0,prestige_sd_app,0.0,1.0,3,1,,0.0,1,0,30,260,520,140,170,1,1,1,,130.0,,,,10.0,1,1,,3,60.0,1,1,,130.0,10.0,1,1,10.0,1,0,,5,60.0,2,1,,130.0,10.0,1,0,10.0,1,1,,7,60.0,3
2,xvqjl47j,,1,15,14,prestige_sd,Results,2025-04-07 08:11:00.458558,1,,,390.0,77bssczk,,,,,0,prestige_sd_app,0.0,1.0,3,2,,0.0,1,0,30,260,520,140,170,1,1,1,,130.0,,,,10.0,0,0,,2,60.0,1,1,,130.0,10.0,0,0,10.0,0,1,,4,60.0,2,1,,130.0,10.0,0,1,10.0,1,1,,6,60.0,3
3,hg2pa01r,,1,15,14,prestige_sd,Results,2025-04-07 08:11:00.481970,1,,,360.0,77bssczk,,,,,0,prestige_sd_app,0.0,1.0,3,3,,0.0,1,0,30,260,520,140,170,1,1,2,,120.0,,,,20.0,1,0,,2,60.0,1,2,,120.0,20.0,1,0,20.0,1,0,,4,60.0,2,2,,120.0,20.0,1,0,20.0,1,1,,6,60.0,3
4,94fgl5qw,,1,15,14,prestige_sd,Results,2025-04-07 08:11:00.503579,1,,,330.0,77bssczk,,,,,0,prestige_sd_app,0.0,1.0,3,4,,0.0,1,0,30,260,520,140,170,1,1,3,,110.0,,,,30.0,0,0,,2,60.0,1,3,,110.0,30.0,0,0,30.0,1,0,,4,60.0,2,3,,110.0,30.0,1,0,30.0,0,0,,6,60.0,3
