participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.prev_contributions,player.contribution,player.show_payoff,player.show_contribution,group.id_in_subsession,group.total_contribution,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,h4awlxwj,,1,16,15,prestige_sd,Results,2025-03-21 03:24:20.279715,1,,,360.0,3,,120.0,,10.0,0,1,1,30.0,1,h49n7shj,,,,,0
2,trn63hq6,,1,16,15,prestige_sd,Results,2025-03-21 03:24:20.298861,1,,,360.0,2,,120.0,,10.0,1,0,1,30.0,1,h49n7shj,,,,,0
3,z285tz85,,1,16,15,prestige_sd,Results,2025-03-21 03:24:20.325587,1,,,360.0,1,,120.0,,10.0,0,1,1,30.0,1,h49n7shj,,,,,0
1,h4awlxwj,,1,16,15,prestige_sd,Results,2025-03-21 03:24:20.279715,1,,,360.0,1,,120.0,,10.0,0,1,1,30.0,2,h49n7shj,,,,,0
2,trn63hq6,,1,16,15,prestige_sd,Results,2025-03-21 03:24:20.298861,1,,,360.0,2,,120.0,,10.0,0,0,1,30.0,2,h49n7shj,,,,,0
3,z285tz85,,1,16,15,prestige_sd,Results,2025-03-21 03:24:20.325587,1,,,360.0,3,,120.0,,10.0,1,1,1,30.0,2,h49n7shj,,,,,0
1,h4awlxwj,,1,16,15,prestige_sd,Results,2025-03-21 03:24:20.279715,1,,,360.0,1,,120.0,,10.0,0,1,1,30.0,3,h49n7shj,,,,,0
2,trn63hq6,,1,16,15,prestige_sd,Results,2025-03-21 03:24:20.298861,1,,,360.0,2,,120.0,,10.0,1,0,1,30.0,3,h49n7shj,,,,,0
3,z285tz85,,1,16,15,prestige_sd,Results,2025-03-21 03:24:20.325587,1,,,360.0,3,,120.0,,10.0,1,1,1,30.0,3,h49n7shj,,,,,0
1,xtu8yt09,,1,16,15,prestige_sd,Results,2025-03-21 03:24:21.370580,1,,,450.0,1,,150.0,,10.0,0,1,1,60.0,1,p6h9mrks,,,,,0
2,80a3q3li,,1,16,15,prestige_sd,Results,2025-03-21 03:24:21.382296,1,,,410.0,3,,130.0,,30.0,1,1,1,60.0,1,p6h9mrks,,,,,0
3,xrjxavn1,,1,16,15,prestige_sd,Results,2025-03-21 03:24:21.391985,1,,,400.0,2,,140.0,,20.0,1,1,1,60.0,1,p6h9mrks,,,,,0
1,xtu8yt09,,1,16,15,prestige_sd,Results,2025-03-21 03:24:21.370580,1,,,450.0,1,,150.0,,10.0,1,1,1,60.0,2,p6h9mrks,,,,,0
2,80a3q3li,,1,16,15,prestige_sd,Results,2025-03-21 03:24:21.382296,1,,,410.0,2,,140.0,,30.0,0,0,1,60.0,2,p6h9mrks,,,,,0
3,xrjxavn1,,1,16,15,prestige_sd,Results,2025-03-21 03:24:21.391985,1,,,400.0,3,,130.0,,20.0,0,0,1,60.0,2,p6h9mrks,,,,,0
1,xtu8yt09,,1,16,15,prestige_sd,Results,2025-03-21 03:24:21.370580,1,,,450.0,1,,150.0,,10.0,1,1,1,60.0,3,p6h9mrks,,,,,0
2,80a3q3li,,1,16,15,prestige_sd,Results,2025-03-21 03:24:21.382296,1,,,410.0,2,,140.0,,30.0,1,0,1,60.0,3,p6h9mrks,,,,,0
3,xrjxavn1,,1,16,15,prestige_sd,Results,2025-03-21 03:24:21.391985,1,,,400.0,3,,130.0,,20.0,1,0,1,60.0,3,p6h9mrks,,,,,0
1,ikdr1yk0,,1,16,15,prestige_sd,Results,2025-03-21 03:24:22.136298,1,,,900.0,2,,300.0,,100.0,1,1,1,300.0,1,4n1urppj,,,,,0
2,bsq12ddw,,1,16,15,prestige_sd,Results,2025-03-21 03:24:22.147303,1,,,900.0,3,,300.0,,100.0,0,1,1,300.0,1,4n1urppj,,,,,0
3,6cdq5qfo,,1,16,15,prestige_sd,Results,2025-03-21 03:24:22.157960,1,,,900.0,1,,300.0,,100.0,1,1,1,300.0,1,4n1urppj,,,,,0
1,ikdr1yk0,,1,16,15,prestige_sd,Results,2025-03-21 03:24:22.136298,1,,,900.0,1,,300.0,,100.0,1,0,1,300.0,2,4n1urppj,,,,,0
2,bsq12ddw,,1,16,15,prestige_sd,Results,2025-03-21 03:24:22.147303,1,,,900.0,2,,300.0,,100.0,1,0,1,300.0,2,4n1urppj,,,,,0
3,6cdq5qfo,,1,16,15,prestige_sd,Results,2025-03-21 03:24:22.157960,1,,,900.0,3,,300.0,,100.0,1,0,1,300.0,2,4n1urppj,,,,,0
1,ikdr1yk0,,1,16,15,prestige_sd,Results,2025-03-21 03:24:22.136298,1,,,900.0,1,,300.0,,100.0,1,1,1,300.0,3,4n1urppj,,,,,0
2,bsq12ddw,,1,16,15,prestige_sd,Results,2025-03-21 03:24:22.147303,1,,,900.0,2,,300.0,,100.0,1,0,1,300.0,3,4n1urppj,,,,,0
3,6cdq5qfo,,1,16,15,prestige_sd,Results,2025-03-21 03:24:22.157960,1,,,900.0,3,,300.0,,100.0,0,0,1,300.0,3,4n1urppj,,,,,0
