participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.participation_fee,session.config.name,session.config.players_per_group,session.config.real_world_currency_per_point,prestige_sd.1.player.id_in_group,prestige_sd.1.player.role,prestige_sd.1.player.payoff,prestige_sd.1.player.prev_contributions,prestige_sd.1.player.contribution,prestige_sd.1.player.show_payoff,prestige_sd.1.player.show_contribution,prestige_sd.1.group.id_in_subsession,prestige_sd.1.group.total_contribution,prestige_sd.1.subsession.round_number,prestige_sd.2.player.id_in_group,prestige_sd.2.player.role,prestige_sd.2.player.payoff,prestige_sd.2.player.prev_contributions,prestige_sd.2.player.contribution,prestige_sd.2.player.show_payoff,prestige_sd.2.player.show_contribution,prestige_sd.2.group.id_in_subsession,prestige_sd.2.group.total_contribution,prestige_sd.2.subsession.round_number,prestige_sd.3.player.id_in_group,prestige_sd.3.player.role,prestige_sd.3.player.payoff,prestige_sd.3.player.prev_contributions,prestige_sd.3.player.contribution,prestige_sd.3.player.show_payoff,prestige_sd.3.player.show_contribution,prestige_sd.3.group.id_in_subsession,prestige_sd.3.group.total_contribution,prestige_sd.3.subsession.round_number
1,gvfy986i,,1,16,15,prestige_sd,Results,2025-03-21 03:29:46.914397,1,,,360.0,uwczdwoi,,,,,0,0.0,prestige_sd_demo,3,1.0,2,,120.0,,10.0,1,1,3,30.0,1,1,,120.0,10.0,10.0,1,1,1,30.0,2,1,,120.0,10.0,10.0,0,0,1,30.0,3
2,2iedbc6b,,1,16,15,prestige_sd,Results,2025-03-21 03:29:46.932716,1,,,360.0,uwczdwoi,,,,,0,0.0,prestige_sd_demo,3,1.0,1,,120.0,,10.0,1,0,3,30.0,1,2,,120.0,10.0,10.0,1,1,1,30.0,2,2,,120.0,10.0,10.0,1,1,1,30.0,3
3,d49j5fcy,,1,16,15,prestige_sd,Results,2025-03-21 03:29:46.963782,1,,,360.0,uwczdwoi,,,,,0,0.0,prestige_sd_demo,3,1.0,2,,120.0,,10.0,0,0,1,30.0,1,3,,120.0,10.0,10.0,1,0,1,30.0,2,3,,120.0,10.0,10.0,0,0,1,30.0,3
4,ygvznulp,,1,16,15,prestige_sd,Results,2025-03-21 03:29:46.972682,1,,,360.0,uwczdwoi,,,,,0,0.0,prestige_sd_demo,3,1.0,1,,120.0,,10.0,1,1,6,30.0,1,1,,120.0,10.0,10.0,1,1,2,30.0,2,1,,120.0,10.0,10.0,1,1,2,30.0,3
5,r6myjoq2,,1,16,15,prestige_sd,Results,2025-03-21 03:29:46.994751,1,,,360.0,uwczdwoi,,,,,0,0.0,prestige_sd_demo,3,1.0,2,,120.0,,10.0,0,0,5,30.0,1,2,,120.0,10.0,10.0,1,1,2,30.0,2,2,,120.0,10.0,10.0,0,0,2,30.0,3
6,pbmqpc0a,,1,16,15,prestige_sd,Results,2025-03-21 03:29:47.029136,1,,,360.0,uwczdwoi,,,,,0,0.0,prestige_sd_demo,3,1.0,1,,120.0,,10.0,0,1,5,30.0,1,3,,120.0,10.0,10.0,0,0,2,30.0,2,3,,120.0,10.0,10.0,1,0,2,30.0,3
7,ulquhbup,,1,16,15,prestige_sd,Results,2025-03-21 03:29:47.060484,1,,,360.0,uwczdwoi,,,,,0,0.0,prestige_sd_demo,3,1.0,2,,120.0,,10.0,0,1,4,30.0,1,1,,120.0,10.0,10.0,0,1,3,30.0,2,1,,120.0,10.0,10.0,1,1,3,30.0,3
8,9o2fqk0m,,1,16,15,prestige_sd,Results,2025-03-21 03:29:47.116924,1,,,360.0,uwczdwoi,,,,,0,0.0,prestige_sd_demo,3,1.0,3,,120.0,,10.0,1,0,5,30.0,1,2,,120.0,10.0,10.0,0,0,3,30.0,2,2,,120.0,10.0,10.0,1,1,3,30.0,3
9,mh30qlz3,,1,16,15,prestige_sd,Results,2025-03-21 03:29:47.129190,1,,,360.0,uwczdwoi,,,,,0,0.0,prestige_sd_demo,3,1.0,1,,120.0,,10.0,0,0,1,30.0,1,3,,120.0,10.0,10.0,1,0,3,30.0,2,3,,120.0,10.0,10.0,1,1,3,30.0,3
10,glipngj4,,1,16,15,prestige_sd,Results,2025-03-21 03:29:47.151603,1,,,360.0,uwczdwoi,,,,,0,0.0,prestige_sd_demo,3,1.0,3,,120.0,,10.0,1,1,4,30.0,1,1,,120.0,10.0,10.0,1,1,4,30.0,2,1,,120.0,10.0,10.0,1,0,4,30.0,3
11,m3bc1n69,,1,16,15,prestige_sd,Results,2025-03-21 03:29:47.159512,1,,,360.0,uwczdwoi,,,,,0,0.0,prestige_sd_demo,3,1.0,3,,120.0,,10.0,0,1,6,30.0,1,2,,120.0,10.0,10.0,1,0,4,30.0,2,2,,120.0,10.0,10.0,0,0,4,30.0,3
12,al9olx2b,,1,16,15,prestige_sd,Results,2025-03-21 03:29:47.168138,1,,,360.0,uwczdwoi,,,,,0,0.0,prestige_sd_demo,3,1.0,2,,120.0,,10.0,0,1,6,30.0,1,3,,120.0,10.0,10.0,0,1,4,30.0,2,3,,120.0,10.0,10.0,1,0,4,30.0,3
13,wxv3z50w,,1,16,15,prestige_sd,Results,2025-03-21 03:29:47.175755,1,,,360.0,uwczdwoi,,,,,0,0.0,prestige_sd_demo,3,1.0,1,,120.0,,10.0,0,0,2,30.0,1,1,,120.0,10.0,10.0,0,1,5,30.0,2,1,,120.0,10.0,10.0,1,1,5,30.0,3
14,5hcky74o,,1,16,15,prestige_sd,Results,2025-03-21 03:29:47.199180,1,,,360.0,uwczdwoi,,,,,0,0.0,prestige_sd_demo,3,1.0,2,,120.0,,10.0,1,0,2,30.0,1,2,,120.0,10.0,10.0,0,0,5,30.0,2,2,,120.0,10.0,10.0,1,1,5,30.0,3
15,1wgbpcsk,,1,16,15,prestige_sd,Results,2025-03-21 03:29:47.233100,1,,,360.0,uwczdwoi,,,,,0,0.0,prestige_sd_demo,3,1.0,3,,120.0,,10.0,0,1,2,30.0,1,3,,120.0,10.0,10.0,0,1,5,30.0,2,3,,120.0,10.0,10.0,1,0,5,30.0,3
16,kijli2j4,,1,16,15,prestige_sd,Results,2025-03-21 03:29:47.245037,1,,,360.0,uwczdwoi,,,,,0,0.0,prestige_sd_demo,3,1.0,1,,120.0,,10.0,1,0,4,30.0,1,1,,120.0,10.0,10.0,0,0,6,30.0,2,1,,120.0,10.0,10.0,0,1,6,30.0,3
17,xml4o3sq,,1,16,15,prestige_sd,Results,2025-03-21 03:29:47.251564,1,,,360.0,uwczdwoi,,,,,0,0.0,prestige_sd_demo,3,1.0,3,,120.0,,10.0,0,0,3,30.0,1,2,,120.0,10.0,10.0,1,0,6,30.0,2,2,,120.0,10.0,10.0,0,0,6,30.0,3
18,my8t4h4l,,1,16,15,prestige_sd,Results,2025-03-21 03:29:47.259452,1,,,360.0,uwczdwoi,,,,,0,0.0,prestige_sd_demo,3,1.0,3,,120.0,,10.0,1,0,1,30.0,1,3,,120.0,10.0,10.0,1,0,6,30.0,2,3,,120.0,10.0,10.0,1,0,6,30.0,3
1,ulv1608a,,1,16,15,prestige_sd,Results,2025-03-21 03:29:54.069243,1,,,440.0,kntb5qze,,,,,0,0.0,prestige_sd_demo,3,1.0,2,,140.0,,20.0,1,1,2,60.0,1,1,,150.0,20.0,10.0,1,0,1,60.0,2,1,,150.0,10.0,10.0,0,1,1,60.0,3
2,s5m5nls1,,1,16,15,prestige_sd,Results,2025-03-21 03:29:54.097255,1,,,410.0,kntb5qze,,,,,0,0.0,prestige_sd_demo,3,1.0,3,,130.0,,30.0,1,0,3,60.0,1,2,,140.0,30.0,20.0,1,0,1,60.0,2,2,,140.0,20.0,20.0,0,1,1,60.0,3
3,08uuy20s,,1,16,15,prestige_sd,Results,2025-03-21 03:29:54.104860,1,,,410.0,kntb5qze,,,,,0,0.0,prestige_sd_demo,3,1.0,1,,150.0,,10.0,0,0,4,60.0,1,3,,130.0,10.0,30.0,0,0,1,60.0,2,3,,130.0,30.0,30.0,0,1,1,60.0,3
4,jc4bc8ox,,1,16,15,prestige_sd,Results,2025-03-21 03:29:54.113668,1,,,450.0,kntb5qze,,,,,0,0.0,prestige_sd_demo,3,1.0,1,,150.0,,10.0,0,1,6,60.0,1,1,,150.0,10.0,10.0,0,0,2,60.0,2,1,,150.0,10.0,10.0,1,0,2,60.0,3
5,mc9ys45y,,1,16,15,prestige_sd,Results,2025-03-21 03:29:54.120918,1,,,420.0,kntb5qze,,,,,0,0.0,prestige_sd_demo,3,1.0,2,,140.0,,20.0,1,0,4,60.0,1,2,,140.0,20.0,20.0,0,1,2,60.0,2,2,,140.0,20.0,20.0,1,1,2,60.0,3
6,j600oknf,,1,16,15,prestige_sd,Results,2025-03-21 03:29:54.144653,1,,,400.0,kntb5qze,,,,,0,0.0,prestige_sd_demo,3,1.0,2,,140.0,,20.0,0,0,1,60.0,1,3,,130.0,20.0,30.0,1,0,2,60.0,2,3,,130.0,30.0,30.0,0,1,2,60.0,3
7,g2jgsw41,,1,16,15,prestige_sd,Results,2025-03-21 03:29:54.177206,1,,,440.0,kntb5qze,,,,,0,0.0,prestige_sd_demo,3,1.0,2,,140.0,,20.0,1,0,3,60.0,1,1,,150.0,20.0,10.0,0,1,3,60.0,2,1,,150.0,10.0,10.0,1,0,3,60.0,3
8,eu40p5m5,,1,16,15,prestige_sd,Results,2025-03-21 03:29:54.208017,1,,,430.0,kntb5qze,,,,,0,0.0,prestige_sd_demo,3,1.0,1,,150.0,,10.0,0,0,2,60.0,1,2,,140.0,10.0,20.0,0,0,3,60.0,2,2,,140.0,20.0,20.0,1,0,3,60.0,3
9,he8puva0,,1,16,15,prestige_sd,Results,2025-03-21 03:29:54.242923,1,,,390.0,kntb5qze,,,,,0,0.0,prestige_sd_demo,3,1.0,3,,130.0,,30.0,0,0,6,60.0,1,3,,130.0,30.0,30.0,0,1,3,60.0,2,3,,130.0,30.0,30.0,0,1,3,60.0,3
